id,distance,fspl
1,18165.576284853585,160.87431592684322
id,distance,fspl
1,12466.274594370798,157.60406610441834
id,distance,fspl
1,12637.260621715015,157.72239117043512
id,distance,fspl
1,5019.70388190937,149.7028942947003
id,distance,fspl
1,11598.665266426602,156.97749262772072
id,distance,fspl
1,6265.602057150174,151.62858849481216
id,distance,fspl
1,16312.63202970326,159.93981312227976
id,distance,fspl
1,17655.667613013116,160.62701521065134
id,distance,fspl
1,6365.60384365114,151.7661244730195
id,distance,fspl
1,10752.48642647827,156.31951038708087
id,distance,fspl
1,12559.071427254858,157.66848293548463
id,distance,fspl
1,16623.84619623256,160.10396257009444
id,distance,fspl
1,6760.52967509815,152.28894679629371
id,distance,fspl
1,8897.884527810635,154.67506763522516
id,distance,fspl
1,5504.8127728886875,150.50418337805428
id,distance,fspl
1,7532.416718500539,153.22801909994945
id,distance,fspl
1,9164.79198408817,154.93178456935556
id,distance,fspl
1,10796.456132477553,156.35495681724478
id,distance,fspl
1,4702.233840186802,149.13541677957875
id,distance,fspl
1,8626.897999738478,154.40642559089616
id,distance,fspl
1,17149.59083568476,160.3744075846251
id,distance,fspl
1,11903.101796929923,157.20253528245598
id,distance,fspl
1,13558.359650511167,158.33347532465166
id,distance,fspl
1,9471.305330398638,155.21752907465975
id,distance,fspl
1,5105.853826346466,149.85069987499384
id,distance,fspl
1,5584.209745767566,150.62856677215774
id,distance,fspl
1,8917.707970265488,154.69439725387116
id,distance,fspl
1,12922.036884090152,157.91595185401883
id,distance,fspl
1,5204.995714200571,150.01773985224406
id,distance,fspl
1,13828.377947281495,158.50475714442229
id,distance,fspl
1,406.9906375901176,127.8810207039374
id,distance,fspl
1,3951.1950647144204,147.6239017411479
id,distance,fspl
1,14922.338902788184,159.16607030873462
id,distance,fspl
1,14286.178477752446,158.78765375686805
id,distance,fspl
1,10989.334112653467,156.50875987918783
id,distance,fspl
1,6968.341448896875,152.55192078650038
id,distance,fspl
1,14820.110605334503,159.10636122485374
id,distance,fspl
1,6325.894616161967,151.7117713808023
id,distance,fspl
1,19510.49097272532,161.49469629442603
id,distance,fspl
1,15996.923349663462,159.7700616044661
id,distance,fspl
1,12048.266258578233,157.30782345885217
id,distance,fspl
1,13003.632147805452,157.97062583715325
id,distance,fspl
1,7900.650997700331,153.64258988235787
id,distance,fspl
1,7658.812554142628,153.3725611372722
id,distance,fspl
1,17443.681311604694,160.52209520137046
id,distance,fspl
1,8955.449910456951,154.73108051003453
id,distance,fspl
1,16858.104037477122,160.22550692123815
id,distance,fspl
1,12752.275050071106,157.80108575374237
id,distance,fspl
1,7972.64489250536,153.72138074182158
id,distance,fspl
1,7017.040278600032,152.61241171598385
id,distance,fspl
1,12122.029551687892,157.3608390956818
id,distance,fspl
1,12355.916832565716,157.52683185551342
id,distance,fspl
1,2568.5733984897115,143.88317193642018
id,distance,fspl
1,11052.377783237618,156.55844675114196
id,distance,fspl
1,3164.5359240472094,145.69553293091775
id,distance,fspl
1,7270.100743648577,152.92014090789422
id,distance,fspl
1,18162.12198025811,160.87266409036494
id,distance,fspl
1,12486.085370585066,157.61785832705692
id,distance,fspl
1,12650.351096297352,157.73138390798243
id,distance,fspl
1,5040.244638057103,149.73836465293726
id,distance,fspl
1,11603.822787989475,156.98135408117633
id,distance,fspl
1,6245.831340339984,151.60113737841954
id,distance,fspl
1,16322.79296069116,159.94522176813365
id,distance,fspl
1,17674.150528917948,160.63610331757224
id,distance,fspl
